indeks_mapel_un_1_5,presentase_rangking _1_5,indeks_mapel_un_3_5,presentase_rangking _1_5,lulus_tpb
90.81,11.37,90.6,16.7,0
83.97,6.07,86.76,6.85,1
82.63,29.28,84.67,27.99,1
82.46,34.43,82.05,39.62,1
83.97,6.76,84.18,8.2,0
82.4,20.57,82.97,19.05,1
77.19,37.93,76.61,44.8,0
81.3,16.25,80.08,13.5,1
81.51,13.75,82.24,15.83,1
81.34,47.48,80.57,62.59,1
83.25,48.73,82.17,44.2,1
82.55,28.04,82.56,31.15,1
83.84,10.26,83.7,12.76,1
81.67,11.25,80.5,18.88,1
82.46,5.63,83.19,6.54,1
87.48,15.38,88.92,9.97,1
87.34,20,84.8,13.49,1
79.6,37.77,81.54,36.34,1
87.39,37.25,88.39,42.88,1
81.43,15.63,81.54,19.62,1
82.2,34.58,80.67,44.39,1
86.61,1.74,86.24,2.33,1
84.07,34.01,85.94,35.19,0
82.38,6.25,80.3,6.82,1
86.31,34.55,84.84,38.6,1
86.96,2.74,87.71,2.48,1
80.98,30.95,81.65,35.03,1
86.37,13.24,85.37,13.25,1
83.21,47.42,83.37,48.8,1
80.95,27.27,79.91,34.2,1
86.38,32.73,85.29,39.06,0
79.3,41.22,81.15,44.34,1
87.44,17.73,87.17,20.33,1
79.45,22.62,79.01,22.61,1
