,0,1,2,3,4,5,6,7,8,9,10
637,0.0,40.0,50.0,46.67,77.78,33.86,7.22,52.78,100.0,13.28,1.0
154,66.67,70.0,50.0,33.33,11.11,21.9,1.03,66.67,100.0,16.1,0.0
131,33.33,50.0,50.0,33.33,55.56,38.83,5.15,41.67,100.0,12.71,0.0
230,66.67,70.0,50.0,33.33,11.11,22.35,5.15,66.67,100.0,10.96,0.0
374,0.0,90.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
270,66.67,30.0,25.0,33.33,55.56,22.35,5.15,63.89,100.0,10.96,0.0
114,33.33,20.0,50.0,33.33,55.56,31.38,5.15,59.42,100.0,5.08,0.0
402,66.67,0.0,25.0,33.33,33.33,22.35,3.09,50.0,100.0,10.96,1.0
217,66.67,40.0,0.0,6.67,11.11,22.35,1.03,44.44,100.0,10.96,0.0
463,66.67,60.0,0.0,46.67,33.33,22.35,1.03,47.22,100.0,10.96,1.0
633,66.67,20.0,25.0,33.33,33.33,22.35,3.09,41.67,100.0,10.96,1.0
287,66.67,40.0,50.0,33.33,55.56,22.35,5.15,66.67,100.0,10.96,0.0
90,33.33,50.0,50.0,33.33,55.56,27.77,5.15,59.42,100.0,7.91,0.0
210,66.67,80.0,0.0,6.67,11.11,22.35,1.03,41.67,100.0,10.96,0.0
226,66.67,50.0,50.0,33.33,55.56,22.35,5.15,58.33,100.0,10.96,0.0
